Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2018-02-27,211.99000549316406,212.75999450683594,208.25,208.82000732421872,2330800,0.0,0.0,ADBE
2018-02-28,210.69000244140625,213.44000244140625,209.10000610351562,209.1300048828125,2356900,0.0,0.0,ADBE
2018-03-01,210.32000732421875,210.67999267578125,204.4499969482422,206.02999877929688,2632200,0.0,0.0,ADBE
2018-03-02,203.96000671386716,210.2100067138672,201.75999450683594,209.7899932861328,2624700,0.0,0.0,ADBE
2018-03-05,208.75,212.0,206.9199981689453,211.16000366210938,2111800,0.0,0.0,ADBE
2018-03-06,212.44000244140625,212.74000549316406,209.8800048828125,212.00999450683594,2169000,0.0,0.0,ADBE
2018-03-07,211.3300018310547,217.44000244140625,211.0,216.86000061035156,2795100,0.0,0.0,ADBE
2018-03-08,218.02999877929688,219.7100067138672,214.86000061035156,216.39999389648438,2284400,0.0,0.0,ADBE
2018-03-09,218.0,221.27000427246094,217.19000244140625,221.11000061035156,2642300,0.0,0.0,ADBE
2018-03-12,222.97000122070312,223.11000061035156,220.33999633789062,220.94000244140625,3216900,0.0,0.0,ADBE
2018-03-13,223.0,224.89999389648438,218.42999267578125,219.75999450683594,4732000,0.0,0.0,ADBE
2018-03-14,220.75,221.46000671386716,217.60000610351562,218.44000244140625,3357600,0.0,0.0,ADBE
2018-03-15,219.99999999999997,221.47000122070312,218.05999755859375,218.8699951171875,4457000,0.0,0.0,ADBE
2018-03-16,227.17999267578125,228.8800048828125,224.0,225.5500030517578,8783000,0.0,0.0,ADBE
2018-03-19,224.47999572753906,226.58999633789062,218.67999267578125,222.17999267578128,4029300,0.0,0.0,ADBE
2018-03-20,223.19000244140625,231.33999633789062,223.0,229.75,5019300,0.0,0.0,ADBE
2018-03-21,228.75999450683594,229.25,225.61000061035156,226.85000610351562,3971800,0.0,0.0,ADBE
2018-03-22,223.86000061035156,225.8699951171875,220.25999450683594,220.52000427246094,3008700,0.0,0.0,ADBE
2018-03-23,219.52000427246094,222.4600067138672,214.77999877929688,215.02000427246094,4297200,0.0,0.0,ADBE
2018-03-26,218.8300018310547,229.14999389648438,218.5,228.91000366210938,4485400,0.0,0.0,ADBE
2018-03-27,229.89999389648435,230.97999572753906,212.25,213.80000305175778,5468100,0.0,0.0,ADBE
2018-03-28,213.72000122070312,217.14999389648438,209.0399932861328,212.5399932861328,4503200,0.0,0.0,ADBE
2018-03-29,213.35000610351562,219.58999633789062,210.27000427246094,216.0800018310547,3757400,0.0,0.0,ADBE
2018-04-02,214.80999755859375,216.5,207.22000122070312,212.27999877929685,3494900,0.0,0.0,ADBE
2018-04-03,214.77999877929688,217.85000610351562,212.27999877929685,215.92999267578125,3017800,0.0,0.0,ADBE
2018-04-04,210.7100067138672,226.27999877929688,210.5,225.0500030517578,4474400,0.0,0.0,ADBE
2018-04-05,227.94000244140625,228.8000030517578,221.61000061035156,223.5399932861328,4084900,0.0,0.0,ADBE
2018-04-06,221.88999938964844,224.4600067138672,216.75,218.61000061035156,2964500,0.0,0.0,ADBE
2018-04-09,220.0800018310547,224.44000244140625,218.82000732421875,219.1699981689453,2536100,0.0,0.0,ADBE
2018-04-10,222.61000061035153,225.1600036621094,221.17999267578125,224.52999877929688,2823200,0.0,0.0,ADBE
2018-04-11,222.92999267578125,226.61999511718747,222.5399932861328,223.6300048828125,1851100,0.0,0.0,ADBE
2018-04-12,225.72000122070312,228.38999938964844,225.1199951171875,226.9600067138672,2084100,0.0,0.0,ADBE
2018-04-13,228.85000610351562,228.9499969482422,222.55000305175778,224.05999755859375,2029300,0.0,0.0,ADBE
2018-04-16,226.0800018310547,227.22999572753906,222.9499969482422,226.52000427246094,2130700,0.0,0.0,ADBE
2018-04-17,228.55999755859375,232.21000671386722,228.07000732421875,231.16000366210938,3404400,0.0,0.0,ADBE
2018-04-18,231.6999969482422,233.1699981689453,228.6199951171875,231.10000610351562,2261600,0.0,0.0,ADBE
2018-04-19,230.11000061035156,230.42999267578125,226.27999877929688,227.6199951171875,2620100,0.0,0.0,ADBE
2018-04-20,227.0,227.60000610351562,223.0500030517578,225.24000549316406,2403700,0.0,0.0,ADBE
2018-04-23,226.38999938964844,229.14999389648438,224.75,225.3000030517578,2138000,0.0,0.0,ADBE
2018-04-24,227.0,228.3000030517578,215.77999877929688,217.88999938964844,3450800,0.0,0.0,ADBE
2018-04-25,218.16000366210938,219.39999389648438,213.25000000000003,217.32000732421875,2946100,0.0,0.0,ADBE
2018-04-26,219.77000427246094,223.19000244140625,218.85000610351562,221.91000366210938,2235900,0.0,0.0,ADBE
2018-04-27,223.0800018310547,224.17999267578125,219.67999267578125,221.89999389648438,1503100,0.0,0.0,ADBE
2018-04-30,223.27000427246094,224.13999938964844,219.5399932861328,221.60000610351562,1766300,0.0,0.0,ADBE
2018-05-01,220.77000427246094,224.49000549316406,219.3800048828125,224.0800018310547,1792900,0.0,0.0,ADBE
2018-05-02,224.3000030517578,224.5,220.5500030517578,221.10000610351562,2202900,0.0,0.0,ADBE
2018-05-03,220.00999450683594,227.3699951171875,218.74000549316406,226.0500030517578,2507900,0.0,0.0,ADBE
2018-05-04,223.88999938964844,229.38999938964844,223.38999938964844,228.50999450683594,1663700,0.0,0.0,ADBE
2018-05-07,229.5399932861328,232.36000061035156,229.02000427246094,230.99000549316406,1808300,0.0,0.0,ADBE
2018-05-08,229.74000549316406,235.0,228.74999999999997,234.55999755859375,2244600,0.0,0.0,ADBE
2018-05-09,235.0,240.14999389648438,233.52999877929688,239.74000549316406,3091600,0.0,0.0,ADBE
2018-05-10,240.4600067138672,241.75999450683594,238.24000549316406,241.14999389648438,1941400,0.0,0.0,ADBE
2018-05-11,241.02999877929688,241.92999267578128,238.7899932861328,241.8800048828125,2261700,0.0,0.0,ADBE
2018-05-14,242.0,243.33999633789062,237.24000549316406,238.3699951171875,2670800,0.0,0.0,ADBE
2018-05-15,235.63999938964844,237.35000610351562,233.00000000000003,236.60000610351562,2130100,0.0,0.0,ADBE
2018-05-16,236.58999633789062,238.1199951171875,235.83999633789062,237.38999938964844,1843700,0.0,0.0,ADBE
2018-05-17,237.32000732421872,239.6699981689453,234.8300018310547,236.85000610351562,1690600,0.0,0.0,ADBE
2018-05-18,236.24000549316406,239.27999877929688,235.25999450683594,238.08999633789062,1888200,0.0,0.0,ADBE
2018-05-21,239.85000610351562,240.77999877929685,237.11000061035156,238.10000610351562,1757900,0.0,0.0,ADBE
2018-05-22,241.14999389648438,243.49000549316406,237.75999450683594,238.7899932861328,2950200,0.0,0.0,ADBE
2018-05-23,236.32000732421875,244.08999633789062,236.0,243.91000366210938,2757600,0.0,0.0,ADBE
2018-05-24,243.7899932861328,245.89999389648438,240.7200012207031,245.1499938964844,2779600,0.0,0.0,ADBE
2018-05-25,245.0,245.7899932861328,242.8699951171875,243.55999755859375,2152900,0.0,0.0,ADBE
2018-05-29,242.99000549316406,243.38999938964847,240.3800048828125,242.19000244140625,2093400,0.0,0.0,ADBE
2018-05-30,244.39999389648438,248.55999755859375,244.38999938964844,247.39999389648435,2319300,0.0,0.0,ADBE
