rewards,steps,epsilon,time
-740.0,200,1.0,0.001469
-659.0,200,1.0,0.001479
-776.0,200,1.0,0.001472
-695.0,200,1.0,0.001476
-821.0,200,1.0,0.001475
-875.0,200,1.0,0.00147
-722.0,200,1.0,0.001491
-893.0,200,1.0,0.00148
-821.0,200,1.0,0.001491
-731.0,200,1.0,0.001489
-785.0,200,1.0,0.001479
-722.0,200,1.0,0.001488
-803.0,200,1.0,0.001489
-794.0,200,1.0,0.001486
-839.0,200,1.0,0.001482
-821.0,200,1.0,0.001474
-767.0,200,1.0,0.001492
-740.0,200,1.0,0.001477
-758.0,200,1.0,0.001482
-821.0,200,1.0,0.001478
-599.0,170,1.0,0.001266
-839.0,200,1.0,0.001478
-776.0,200,1.0,0.001486
-803.0,200,1.0,0.001472
-749.0,200,1.0,0.001635
-866.0,200,1.0,0.001486
-632.0,200,1.0,0.00148
-749.0,200,1.0,0.001471
-695.0,200,1.0,0.001474
-803.0,200,1.0,0.00149
-866.0,200,1.0,0.00149
-758.0,200,1.0,0.001472
-875.0,200,1.0,0.00148
-803.0,200,1.0,0.001489
-785.0,200,1.0,0.001495
-803.0,200,1.0,0.001478
-794.0,200,1.0,0.001496
-776.0,200,1.0,0.001503
-587.0,200,1.0,0.001488
-785.0,200,1.0,0.001487
-740.0,200,1.0,0.001477
-713.0,200,1.0,0.001486
-857.0,200,1.0,0.001491
-803.0,200,1.0,0.001468
-821.0,200,1.0,0.001482
-848.0,200,1.0,0.001486
-839.0,200,1.0,0.001498
-785.0,200,1.0,0.001474
-947.0,200,1.0,0.001469
-767.0,200,1.0,0.001486
-794.0,200,1.0,0.001489
-731.0,200,1.0,0.001469
-129.0,42,1.0,0.000317
-884.0,200,1.0,0.001482
-821.0,200,1.0,0.001484
-713.0,200,1.0,0.001478
-812.0,200,1.0,0.001473
-803.0,200,1.0,0.00149
-758.0,200,1.0,0.00148
-695.0,200,1.0,0.001488
-902.0,200,1.0,0.001477
-749.0,200,1.0,0.001484
-767.0,200,1.0,0.001489
-740.0,200,1.0,0.001476
-722.0,200,1.0,0.001482
-794.0,200,1.0,0.001487
-695.0,200,1.0,0.001492
-785.0,200,1.0,0.001474
-830.0,200,1.0,0.00147
-758.0,200,1.0,0.001491
-866.0,200,1.0,0.001491
-668.0,200,1.0,0.001484
-722.0,200,1.0,0.001468
-767.0,200,1.0,0.001499
-812.0,200,1.0,0.001478
-812.0,200,1.0,0.001475
-758.0,200,1.0,0.001489
-695.0,200,1.0,0.001503
-866.0,200,1.0,0.001495
-740.0,200,1.0,0.00149
-632.0,200,1.0,0.001478
-758.0,200,1.0,0.001488
-749.0,200,1.0,0.001497
-722.0,200,1.0,0.001472
-794.0,200,1.0,0.001483
-848.0,200,1.0,0.001496
-785.0,200,1.0,0.001427
-794.0,200,1.0,0.00142
-929.0,200,1.0,0.001418
-803.0,200,1.0,0.001434
-821.0,200,1.0,0.001433
-758.0,200,1.0,0.001423
-794.0,200,1.0,0.001415
-704.0,200,1.0,0.00143
-767.0,200,1.0,0.001418
-875.0,200,1.0,0.001416
-794.0,200,1.0,0.001426
-776.0,200,1.0,0.001421
-767.0,200,1.0,0.001434
-749.0,200,1.0,0.001429
-821.0,200,1.0,0.001425
-749.0,200,1.0,0.001423
-740.0,200,1.0,0.001439
-695.0,200,1.0,0.001419
-866.0,200,1.0,0.001428
-794.0,200,1.0,0.001428
-794.0,200,1.0,0.001425
-776.0,200,1.0,0.001413
-812.0,200,1.0,0.001425
-776.0,200,1.0,0.001438
-821.0,200,1.0,0.00143
-731.0,200,1.0,0.001419
-686.0,200,1.0,0.00142
-740.0,200,1.0,0.001252
-723.0,168,1.0,0.001036
-830.0,200,1.0,0.001237
-785.0,200,1.0,0.001229
-740.0,200,1.0,0.001234
-453.0,123,1.0,0.00076
-812.0,200,1.0,0.001225
-740.0,200,1.0,0.001224
-731.0,200,1.0,0.001227
-884.0,200,1.0,0.00123
-794.0,200,1.0,0.001223
-767.0,200,1.0,0.00122
-821.0,200,1.0,0.001227
-866.0,200,1.0,0.001215
-129.0,42,1.0,0.000259
-857.0,200,1.0,0.001222
-740.0,200,1.0,0.001241
-731.0,200,1.0,0.001226
-821.0,200,1.0,0.001213
-812.0,200,1.0,0.001217
-785.0,200,1.0,0.001215
-758.0,200,1.0,0.00122
-794.0,200,1.0,0.001228
-767.0,200,1.0,0.001225
-659.0,200,1.0,0.001224
-785.0,200,1.0,0.001215
-785.0,200,1.0,0.001212
-794.0,200,1.0,0.00121
-803.0,200,1.0,0.001211
-598.0,151,1.0,0.000919
-884.0,200,1.0,0.001209
-929.0,200,1.0,0.001226
-839.0,200,1.0,0.001219
-848.0,200,1.0,0.001211
-758.0,200,1.0,0.001225
-740.0,200,1.0,0.00121
-686.0,200,1.0,0.00122
-830.0,200,1.0,0.001225
-803.0,200,1.0,0.001223
-785.0,200,1.0,0.001215
-722.0,200,1.0,0.001228
-731.0,200,1.0,0.001218
-794.0,200,1.0,0.001228
-821.0,200,1.0,0.001221
-866.0,200,1.0,0.001225
-938.0,200,1.0,0.001213
-803.0,200,1.0,0.001228
-740.0,200,1.0,0.001227
-893.0,200,1.0,0.001213
-803.0,200,1.0,0.001213
-731.0,200,1.0,0.00122
-695.0,200,1.0,0.00122
-767.0,200,1.0,0.001208
-740.0,200,1.0,0.001227
-740.0,200,1.0,0.001214
-659.0,200,1.0,0.001227
-821.0,200,1.0,0.001218
-758.0,200,1.0,0.00122
-722.0,200,1.0,0.001238
-866.0,200,1.0,0.00123
-749.0,200,1.0,0.001225
-839.0,200,1.0,0.001227
-704.0,200,1.0,0.001222
-821.0,200,1.0,0.001227
-668.0,200,1.0,0.001234
-839.0,200,1.0,0.001219
-767.0,200,1.0,0.001218
-677.0,200,1.0,0.00123
-704.0,200,1.0,0.001213
-884.0,200,1.0,0.001211
-722.0,200,1.0,0.001225
-884.0,200,1.0,0.001236
