epsilon_decay,learning_rate,discount_factor,score_min,score_avg,score_max,step_min,step_avg,step_max,time_min,time_avg,time_max
0.995146695986853,0.7335335788891333,0.6226943072907406,-929.0,-35.9752,15.0,6,28.2172,200,4.9e-05,0.00021884640000000003,0.001701
0.9955449371039226,0.8221172394393843,0.680096431893496,-884.0,-36.7608,15.0,6,27.738,200,4.9e-05,0.00021516320000000003,0.001669
0.9951639255234891,0.884420057794566,0.7038974761074552,-866.0,-33.5088,15.0,6,26.6424,200,4.9e-05,0.0002050824,0.001736
0.9971168617480048,0.8795021707655016,0.72036829797849,-902.0,-48.4128,15.0,6,29.8224,200,5e-05,0.00023816639999999997,0.001724
0.9951250844929828,0.898465650281718,0.6996881516236052,-911.0,-34.4668,15.0,6,26.7928,200,5e-05,0.00021431039999999997,0.001753
0.9951592500635281,0.8876349388514029,0.5186017273897539,-884.0,-34.8972,15.0,6,27.0216,200,5e-05,0.00021309680000000002,0.001738
0.995980298959018,0.8987803276753812,0.6995371174081901,-884.0,-36.6028,15.0,6,27.3616,200,5e-05,0.00021437599999999998,0.001721
0.9964825266267354,0.8254100801192725,0.5728394779515555,-893.0,-44.7944,15.0,6,29.5916,200,5e-05,0.00023165960000000001,0.001591
0.995482149690964,0.8043633082720024,0.6610617858567802,-875.0,-36.612,15.0,6,27.7788,200,5e-05,0.00021828279999999998,0.001763
0.9951415372118172,0.834626071657904,0.7971439247022041,-884.0,-34.8388,15.0,6,27.1168,200,5e-05,0.0002119396,0.001694
0.9951414021038728,0.8357371406785987,0.794406497861206,-902.0,-34.2544,15.0,6,27.0796,200,5e-05,0.000210582,0.001618
0.995575744481809,0.8717229053264144,0.7011992929719643,-884.0,-36.132,15.0,6,27.372,200,5e-05,0.00021251119999999996,0.001692
0.9954183535399002,0.7882278765601289,0.6043655064867981,-875.0,-37.0404,15.0,6,28.1928,200,5e-05,0.0002214944,0.00172
0.998361539699771,0.8993534707609193,0.7473975527607706,-893.0,-69.666,15.0,6,34.9308,200,5e-05,0.00027434279999999996,0.00161
0.9950053134548894,0.8237895158057917,0.643520546532138,-902.0,-34.3148,15.0,6,27.1352,200,4.9e-05,0.0002115388,0.001673
0.9950872462161693,0.8297025978876308,0.6419923602622544,-866.0,-34.2084,15.0,6,27.2364,200,4.9e-05,0.0002123228,0.001735
